frame,dx,dy,scale,angle,cum_x,cum_y,cum_scale,cum_angle,inliers
68,0.058039,-0.076933,0.999926,0.011348,0.834465,-0.457664,0.999052,0.170699,259
69,0.210705,0.233410,0.999724,-0.004757,1.045170,-0.224254,0.998776,0.165941,249
70,0.144049,-0.193784,1.000020,0.003188,1.189219,-0.418038,0.998796,0.169129,229
71,0.006667,0.116846,0.999942,0.005778,1.195886,-0.301192,0.998739,0.174907,257
72,-0.007154,0.051563,1.000004,-0.000496,1.188732,-0.249628,0.998742,0.174411,238
73,0.241123,-0.206969,0.999583,0.001524,1.429854,-0.456597,0.998326,0.175935,186
74,0.037310,0.147150,0.999753,-0.007422,1.467165,-0.309447,0.998079,0.168513,222
75,-0.018059,0.505447,0.999873,-0.031834,1.449106,0.196000,0.997952,0.136679,217
76,-0.330503,-0.001568,1.000164,-0.003617,1.118603,0.194433,0.998116,0.133062,192
77,0.226797,-0.257506,0.999967,0.051589,1.345399,-0.063074,0.998084,0.184651,174
78,-0.337028,-0.043894,1.000312,-0.002785,1.008371,-0.106968,0.998395,0.181866,204
79,-0.006718,0.149208,0.999922,-0.007291,1.001653,0.042240,0.998317,0.174575,230
80,0.287785,-0.076186,0.999617,0.028638,1.289438,-0.033946,0.997935,0.203213,240
81,0.019580,-0.256816,1.000016,0.015923,1.309018,-0.290762,0.997951,0.219136,212
82,0.117978,-0.062931,0.999914,0.022221,1.426996,-0.353693,0.997865,0.241357,200
83,-0.140050,-0.039779,0.999966,-0.004597,1.286946,-0.393472,0.997831,0.236760,223
84,0.073600,-0.035707,0.999906,0.004541,1.360546,-0.429179,0.997737,0.241301,197
85,-0.701224,0.237044,1.000360,-0.045900,0.659322,-0.192135,0.998096,0.195402,192
86,-0.458007,0.031904,1.000323,-0.009824,0.201315,-0.160231,0.998419,0.185578,215
87,0.085099,0.087567,0.999708,-0.000296,0.286415,-0.072664,0.998128,0.185281,202
88,0.107185,0.042326,0.999875,-0.006737,0.393600,-0.030337,0.998003,0.178544,217
89,-0.048448,-0.024110,0.999932,-0.008836,0.345152,-0.054447,0.997936,0.169708,215
90,0.213003,-0.101649,0.999755,0.005493,0.558154,-0.156097,0.997691,0.175201,224
91,-0.061810,-0.060411,1.000036,0.004969,0.496344,-0.216508,0.997727,0.180170,208
92,0.176801,0.277512,0.999810,-0.001631,0.673146,0.061004,0.997537,0.178539,195
93,0.262643,-0.247154,0.999868,0.041001,0.935789,-0.186151,0.997406,0.219540,213
94,-0.629898,0.206527,1.000315,-0.038884,0.305891,0.020376,0.997720,0.180656,193
95,-0.063494,-0.281327,1.000066,0.001762,0.242398,-0.260951,0.997786,0.182418,198
96,-0.056737,-0.066483,0.999976,-0.010739,0.185661,-0.327433,0.997763,0.171678,226
97,-0.128245,-0.393335,1.000671,0.021912,0.057416,-0.720768,0.998432,0.193590,201
